date_time,srch_query_affinity_score
2013-01-15,-1.3980108417824
2013-01-16,-1.5566692433575
2013-01-17,-1.79917538178429
2013-01-18,-2.05166004002001
2013-01-19,-1.62350960810684
2013-01-20,-1.61703408394122
2013-01-21,-1.60724493562721
2013-01-22,-1.68431593962121
2013-01-23,-1.50859123176022
2013-01-24,-1.70869857977622
2013-01-25,-1.81265668427702
2013-01-26,-1.64913961310909
2013-01-27,-1.82400723789529
2013-01-28,-1.70867998252809
2013-01-29,-1.50068399927104
2013-01-30,-1.80978331633258
2013-01-31,-1.78534405902079
2013-02-01,-1.79763552631579
2013-02-02,-1.95472599018249
2013-02-03,-1.63624618441195
2013-02-04,-1.64477147885603
2013-02-05,-1.79116255914526
2013-02-06,-2.17306187458551
2013-02-07,-1.6216568604262
2013-02-08,-1.78831012442515
2013-02-09,-1.97343570910713
2013-02-10,-1.55969091746288
2013-02-11,-1.69181384561127
2013-02-12,-1.91500332337413
2013-02-13,-1.59985318672497
2013-02-14,-1.61862343950587
2013-02-15,-1.92281503719447
2013-02-16,-1.72421374588655
2013-02-17,-1.76918466540855
2013-02-18,-1.65980438926881
2013-02-19,-1.70198436334005
2013-02-20,-1.81236257520272
2013-02-21,-1.88898953795599
2013-02-22,-1.75007167659451
2013-02-23,-1.97980826909009
2013-02-24,-2.08455971659919
2013-02-25,-1.87520756625405
2013-02-26,-1.64732860767716
2013-02-27,-1.7681660585891
2013-02-28,-1.7940416464891
2013-03-01,-1.54366535582255
2013-03-02,-2.02384656403874
2013-03-03,-1.78357888986482
2013-03-04,-1.81264526467613
2013-03-05,-1.66294925843359
2013-03-06,-1.94592796298341
2013-03-07,-2.11677321199439
2013-03-08,-1.52476988492651
2013-03-09,-1.58714752791905
2013-03-10,-1.69497269184093
2013-03-11,-1.66874137944196
2013-03-12,-1.87035297025756
2013-03-13,-1.69334703497
2013-03-14,-1.66803191204469
2013-03-15,-1.42321774130699
2013-03-16,-1.72038228971447
2013-03-17,-1.67439801005809
2013-03-18,-1.93007828318036
2013-03-19,-1.71051667389106
2013-03-20,-1.75015817139028
2013-03-21,-1.4926802662037
2013-03-22,-1.59044418571292
2013-03-23,-1.39188788520219
2013-03-24,-1.43385675954592
2013-03-25,-1.48122568794002
2013-03-26,-1.72765590882896
2013-03-27,-1.42895689523971
2013-03-28,-1.467034702377
2013-03-29,-1.47338560209424
2013-03-30,-2.0199226432564
2013-03-31,-1.47270909170382
2013-04-01,-1.50171797743722
2013-04-02,-1.70359281513679
2013-04-03,-1.7973370582747
2013-04-04,-1.73533957068932
2013-04-05,-1.78965183168553
2013-04-06,-1.75067074618096
2013-04-07,-1.76221173393124
2013-04-08,-1.9850723072659
2013-04-09,-1.36659830322367
2013-04-10,-1.5850827598673
2013-04-11,-1.67782270825917
2013-04-12,-2.00477076077452
2013-04-13,-1.75649952539989
2013-04-14,-1.70667656879678
2013-04-15,-1.57705196563807
2013-04-16,-1.4993236232229
2013-04-17,-1.49526529394645
2013-04-18,-1.95393859466552
2013-04-19,-1.62265188969373
2013-04-20,-1.67042688060732
2013-04-21,-1.70510780739802
2013-04-22,-1.75377094393476
2013-04-23,-1.22748517138599
2013-04-24,-1.85191270502145
2013-04-25,-1.38561529879456
2013-04-26,-1.68911049915193
2013-04-27,-1.57025042122002
2013-04-28,-1.39835779286005
2013-04-29,-1.7458377518362
2013-04-30,-1.37626287528383
2013-05-01,-1.46094053914665
2013-05-02,-1.49793096498719
2013-05-03,-1.13412906791508
2013-05-04,-1.48011084401878
2013-05-05,-1.84280634102333
2013-05-06,-1.56406074041233
2013-05-07,-1.31994192838217
2013-05-08,-1.56009240422993
2013-05-09,-1.64557674850249
2013-05-10,-1.62381175026654
2013-05-11,-1.58720592309824
2013-05-12,-1.1764761154232
2013-05-13,-1.48432538445611
2013-05-14,-1.7759915882329
2013-05-15,-1.86037076952898
2013-05-16,-1.69240180657543
2013-05-17,-1.49368690090711
2013-05-18,-1.89183964569153
2013-05-19,-1.80710573800823
2013-05-20,-1.63205655947006
2013-05-21,-1.41317730048268
2013-05-22,-1.46893396630763
2013-05-23,-1.55861246493909
2013-05-24,-1.44195929167607
2013-05-25,-1.54842984315009
2013-05-26,-1.65102782069003
2013-05-27,-1.56361444033962
2013-05-28,-1.54032667956157
2013-05-29,-1.5871214634621
2013-05-30,-1.66088045009309
2013-05-31,-1.6803862292988
2013-06-01,-1.55367415063562
2013-06-02,-1.43407896427769
2013-06-03,-1.81665523083439
2013-06-04,-1.75995663203672
2013-06-05,-1.49190297270778
2013-06-06,-1.51395370858626
2013-06-07,-1.66720750353419
2013-06-08,-1.60341410818913
2013-06-09,-1.59044028115519
2013-06-10,-1.7449195428592
2013-06-11,-1.4789754478761
2013-06-12,-1.63131573762133
2013-06-13,-1.53725009204534
2013-06-14,-1.361506225911
2013-06-15,-1.76131529013373
2013-06-16,-1.39248506354715
2013-06-17,-1.3905239083245
2013-06-18,-1.3676432235459
2013-06-19,-1.26266704900555
2013-06-20,-1.6250178423916
2013-06-21,-1.43157767425542
2013-06-22,-1.64080620277236
2013-06-23,-1.96142263323911
2013-06-24,-1.68120624298226
2013-06-25,-1.81332191725986
2013-06-26,-1.25405958001739
2013-06-27,-1.35712523347629
2013-06-28,-1.65958491937505
2013-06-29,-1.7114758874435
2013-06-30,-1.76253552466959
